section,2016 Applicant and Entering-Class Data,,
order,95,,
table_name,grade_point_average_first_year_first_time_enrollees,,
display_table_name,"Grade Point Average (GPA): First-Year, First-Time Enrollees",,
table_has_categories,yes,,
filter_by,,,
filter_display_order,,,
content,,,
Dental School,GPA,"Mean
Combined Graduate and Undergraduate","5th and 95th Percentiles
Combined Graduate and Undergraduate "
University of Illinois at Chicago College of Dentistry,Science,3.55,2.79–4.07
University of Illinois at Chicago College of Dentistry,Total,3.62,2.97–4.07
University of Kentucky College of Dentistry,Science,3.40,2.61–3.99
University of Kentucky College of Dentistry,Total,3.50,2.89–3.96
University of Louisville School of Dentistry,Science,3.42,2.87–3.89
University of Louisville School of Dentistry,Total,3.54,3.02–3.92
University of Manitoba College of Dentistry,Science,3.92,NR
University of Manitoba College of Dentistry,Total,4.06,NR
University of Maryland School of Dentistry,Science,3.48,2.77–3.99
University of Maryland School of Dentistry,Total,3.56,2.96–3.99
University of Michigan School of dentistry,Science,3.58,2.92–4.03
University of Michigan School of dentistry,Total,3.65,3.09–4.04
University of Minnesota School of Dentistry,Science,3.50,3.04–3.95
University of Minnesota School of Dentistry,Total,3.58,3.10–3.96
University of Mississippi Medical Center School of dentistry,Science,3.43,2.62–4.00
University of Mississippi Medical Center School of dentistry,Total,3.54,2.88–4.00
"University of Missouri - Kansas City, School of Dentistry",Science,3.52,2.94–3.98
"University of Missouri - Kansas City, School of Dentistry",Total,3.59,3.10–3.98
University of Nebraska Medical Center College of Dentistry,Science,3.58,2.77–4.02
University of Nebraska Medical Center College of Dentistry,Total,3.67,3.06–4.04
"University of Nevada, Las Vegas, School of Dental Medicine",Science,3.44,2.87–3.95
"University of Nevada, Las Vegas, School of Dental Medicine",Total,3.52,3.01–3.94
University of New England College of Dental Medicine,Science,3.24,2.79–3.72
University of New England College of Dental Medicine,Total,3.38,2.97–3.78
University of North Carolina at Chapel Hill School of Dentistry,Science,3.48,2.75–3.98
University of North Carolina at Chapel Hill School of Dentistry,Total,3.56,3.01–3.98
University of Oklahoma College of Dentistry,Science,3.53,2.74–4.00
University of Oklahoma College of Dentistry,Total,3.64,3.03–4.00
University of Pennsylvania School of Dental Medicine,Science,3.62,3.21–4.00
University of Pennsylvania School of Dental Medicine,Total,3.68,3.31–4.00
University of Pittsburgh School of Dental Medicine,Science,3.55,3.02–3.97
University of Pittsburgh School of Dental Medicine,Total,3.64,3.20–3.97
University of Puerto Rico School of Dental Medicine,Science,3.29,2.62–4.00
University of Puerto Rico School of Dental Medicine,Total,3.46,2.88–3.99
University of Saskatchewan College of Dentistry,Science,NR,NR
University of Saskatchewan College of Dentistry,Total,87.14,79.60–95.50
University of Tennessee Health Science Center College of Dentistry,Science,3.56,3.03–4.00
University of Tennessee Health Science Center College of Dentistry,Total,3.65,3.20–3.98
University of Texas Health Science Center at San Antonio School of Dentistry,Science,3.52,2.97–4.00
University of Texas Health Science Center at San Antonio School of Dentistry,Total,3.60,2.67–4.00
University of Texas School of Dentistry at Houston,Science,3.68,3.30–4.00
University of Texas School of Dentistry at Houston,Total,3.73,3.30–4.00
"University of the Pacific, Arthur A. Dugoni School of Dentistry",Science,3.48,3.10–3.96
"University of the Pacific, Arthur A. Dugoni School of Dentistry",Total,3.55,3.17–3.93
University of Toronto Faculty of Dentistry,Science,NR,NR
