section,2016 Applicant and Entering-Class Data,,,
Nova Southeastern University College of Dental Medicine,"International
(noncitizens who are not
permanent residents)",281,24,8
Nova Southeastern University College of Dental Medicine,Total,"3,166",712,120
Oregon Health & Science University School of Dentistry,In-state,102,53,42
Oregon Health & Science University School of Dentistry,Out-of-state,1137,85,33
Oregon Health & Science University School of Dentistry,"International
(noncitizens who are not
permanent residents)",55,2,1
Oregon Health & Science University School of Dentistry,Total,"1,294",140,76
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",In-state,165,NR,24
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Out-of-state,"1,775",NR,59
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","International
(noncitizens who are not
permanent residents)",154,NR,1
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah",Total,"2,094",NR,84
"Rutgers, The State University of New Jersey School of Dental Medicine",In-state,336,132,54
"Rutgers, The State University of New Jersey School of Dental Medicine",Out-of-state,"1,598",185,27
"Rutgers, The State University of New Jersey School of Dental Medicine","International
(noncitizens who are not
permanent residents)",123,7,10
"Rutgers, The State University of New Jersey School of Dental Medicine",Total,"2,057",324,91
Southern Illinois University School of Dental Medicine,In-state,351,130,47
Southern Illinois University School of Dental Medicine,Out-of-state,456,4,2
Southern Illinois University School of Dental Medicine,"International
(noncitizens who are not
permanent residents)",40,0,0
Southern Illinois University School of Dental Medicine,Total,847,134,49
Stony Brook University School of Dental Medicine,In-state,499,NR,38
Stony Brook University School of Dental Medicine,Out-of-state,610,NR,4
Stony Brook University School of Dental Medicine,"International
(noncitizens who are not
permanent residents)",79,NR,2
Stony Brook University School of Dental Medicine,Total,"1,188",NR,44
Texas A&M University College of Dentistry,In-state,818,240,96
Texas A&M University College of Dentistry,Out-of-state,707,21,8
Texas A&M University College of Dentistry,"International
(noncitizens who are not
permanent residents)",54,1,1
Texas A&M University College of Dentistry,Total,"1,579",262,105
The Maurice H. Kornberg School of Dentistry Temple University,In-state,298,122,71
The Maurice H. Kornberg School of Dentistry Temple University,Out-of-state,"2,583",228,58
The Maurice H. Kornberg School of Dentistry Temple University,"International
(noncitizens who are not
permanent residents)",299,28,8
The Maurice H. Kornberg School of Dentistry Temple University,Total,"3,180",378,137
The Ohio State University College of Dentistry,In-state,257,141,98
The Ohio State University College of Dentistry,Out-of-state,753,60,12
The Ohio State University College of Dentistry,"International
(noncitizens who are not
permanent residents)",28,1,0
The Ohio State University College of Dentistry,Total,"1,038",202,110
The University of Iowa College of Dentistry & Dental Clinics,In-state,107,76,57
The University of Iowa College of Dentistry & Dental Clinics,Out-of-state,736,199,23
The University of Iowa College of Dentistry & Dental Clinics,"International
(noncitizens who are not
permanent residents)",38,0,0
The University of Iowa College of Dentistry & Dental Clinics,Total,881,275,80
Touro College of Dental Medicine at New York Medical College,In-state,298,NR,32
Touro College of Dental Medicine at New York Medical College,Out-of-state,"1,687",NR,79
Touro College of Dental Medicine at New York Medical College,"International
(noncitizens who are not
permanent residents)",144,NR,0
Touro College of Dental Medicine at New York Medical College,Total,"2,129",NR,111
Tufts University School of Dental Medicine,In-state,163,NR,47
Tufts University School of Dental Medicine,Out-of-state,"3,504",NR,153
Tufts University School of Dental Medicine,"International
(noncitizens who are not
permanent residents)",23,NR,1
Tufts University School of Dental Medicine,Total,"3,690",NR,201
Université de Montréal Faculté de Médecine Dentaire,In-state,971,335,88
Université de Montréal Faculté de Médecine Dentaire,Out-of-state,74,8,1
Université de Montréal Faculté de Médecine Dentaire,"International
(noncitizens who are not
permanent residents)",0,0,0
Université de Montréal Faculté de Médecine Dentaire,Total,"1,045",343,89
Université Laval Faculté de Médecine Dentaire,In-state,691,180,49
Université Laval Faculté de Médecine Dentaire,Out-of-state,29,20,2
Université Laval Faculté de Médecine Dentaire,"International
(noncitizens who are not
permanent residents)",16,NR,0
Université Laval Faculté de Médecine Dentaire,Total,736,200,51
University at Buffalo School of Dental Medicine,In-state,549,190,79
University at Buffalo School of Dental Medicine,Out-of-state,978,101,10
University at Buffalo School of Dental Medicine,"International
(noncitizens who are not
permanent residents)",282,14,4
University at Buffalo School of Dental Medicine,Total,"1,809",305,93
University of Alabama at Birmingham School of Dentistry,In-state,116,59,40
University of Alabama at Birmingham School of Dentistry,Out-of-state,754,97,19
University of Alabama at Birmingham School of Dentistry,"International
(noncitizens who are not
permanent residents)",20,1,0
University of Alabama at Birmingham School of Dentistry,Total,890,157,59
University of Alberta School of Dentistry,In-state,241,85,31
University of Alberta School of Dentistry,Out-of-state,104,15,1
University of Alberta School of Dentistry,"International
(noncitizens who are not
permanent residents)",5,0,0
University of Alberta School of Dentistry,Total,350,100,32
University of British Columbia Faculty of Dentistry,In-state,227,81,56
University of British Columbia Faculty of Dentistry,Out-of-state,170,15,2
University of British Columbia Faculty of Dentistry,"International
(noncitizens who are not
permanent residents)",0,0,0
University of British Columbia Faculty of Dentistry,Total,397,96,58
"University of California, Los Angeles, School of Dentistry",In-state,930,138,78
"University of California, Los Angeles, School of Dentistry",Out-of-state,769,16,7
"University of California, Los Angeles, School of Dentistry","International
(noncitizens who are not
permanent residents)",110,2,2
"University of California, Los Angeles, School of Dentistry",Total,"1,809",156,87
"University of California, San Francisco, School of Dentistry",In-state,965,NR,73
"University of California, San Francisco, School of Dentistry",Out-of-state,"1,021",NR,16
"University of California, San Francisco, School of Dentistry","International
(noncitizens who are not
permanent residents)",126,NR,1
"University of California, San Francisco, School of Dentistry",Total,"2,112",NR,90
University of Colorado School of Dental Medicine,In-state,129,93,52
University of Colorado School of Dental Medicine,Out-of-state,"1,772",132,28
University of Colorado School of Dental Medicine,"International
(noncitizens who are not
permanent residents)",65,0,0
University of Colorado School of Dental Medicine,Total,"1,966",225,80
University of Connecticut School of Dental Medicine,In-state,90,37,32
University of Connecticut School of Dental Medicine,Out-of-state,"1,234",132,17
University of Connecticut School of Dental Medicine,"International
(noncitizens who are not
permanent residents)",90,0,0
University of Connecticut School of Dental Medicine,Total,"1,414",169,49
University of Detroit Mercy School of Dentistry,In-state,394,228,75
University of Detroit Mercy School of Dentistry,Out-of-state,914,386,38
University of Detroit Mercy School of Dentistry,"International
(noncitizens who are not
permanent residents)",320,145,30
University of Detroit Mercy School of Dentistry,Total,"1,628",759,143
University of Florida College of Dentistry,In-state,604,287,91
University of Florida College of Dentistry,Out-of-state,852,37,2
University of Florida College of Dentistry,"International
(noncitizens who are not
permanent residents)",4,0,0
University of Florida College of Dentistry,Total,"1,460",324,93
University of Illinois at Chicago College of Dentistry,In-state,400,185,69
University of Illinois at Chicago College of Dentistry,Out-of-state,781,21,3
University of Illinois at Chicago College of Dentistry,"International
(noncitizens who are not
permanent residents)",19,0,0
University of Illinois at Chicago College of Dentistry,Total,"1,200",206,72
University of Kentucky College of Dentistry,In-state,137,94,33
University of Kentucky College of Dentistry,Out-of-state,"1,690",181,31
University of Kentucky College of Dentistry,"International
(noncitizens who are not
permanent residents)",74,8,1
University of Kentucky College of Dentistry,Total,"1,901",283,65
University of Louisville School of Dentistry,In-state,146,81,41
University of Louisville School of Dentistry,Out-of-state,"2,831",286,76
University of Louisville School of Dentistry,"International
(noncitizens who are not
permanent residents)",89,7,1
University of Louisville School of Dentistry,Total,"3,066",374,118
University of Manitoba College of Dentistry,In-state,84,63,28
University of Manitoba College of Dentistry,Out-of-state,91,9,1
University of Manitoba College of Dentistry,"International
(noncitizens who are not
permanent residents)",0,0,0
University of Manitoba College of Dentistry,Total,175,72,29
University of Maryland School of Dentistry,In-state,202,146,66
University of Maryland School of Dentistry,Out-of-state,"2,316",351,62
University of Maryland School of Dentistry,"International
(noncitizens who are not
permanent residents)",166,10,4
University of Maryland School of Dentistry,Total,"2,684",507,132
University of Michigan School of dentistry,In-state,370,102,58
University of Michigan School of dentistry,Out-of-state,"1,549",162,41
University of Michigan School of dentistry,"International
(noncitizens who are not
permanent residents)",184,34,6
University of Michigan School of dentistry,Total,"2,103",298,105
University of Minnesota School of Dentistry,In-state,194,NR,63
University of Minnesota School of Dentistry,Out-of-state,939,NR,39
University of Minnesota School of Dentistry,"International
(noncitizens who are not
permanent residents)",129,NR,7
University of Minnesota School of Dentistry,Total,"1,262",NR,109
University of Mississippi Medical Center School of dentistry,In-state,110,103,39
University of Mississippi Medical Center School of dentistry,Out-of-state,76,0,0
University of Mississippi Medical Center School of dentistry,"International
(noncitizens who are not
permanent residents)",0,0,0
University of Mississippi Medical Center School of dentistry,Total,186,103,39
"University of Missouri - Kansas City, School of Dentistry",In-state,181,97,63
"University of Missouri - Kansas City, School of Dentistry",Out-of-state,754,78,43
"University of Missouri - Kansas City, School of Dentistry","International
(noncitizens who are not
permanent residents)",19,4,3
"University of Missouri - Kansas City, School of Dentistry",Total,954,179,109
University of Nebraska Medical Center College of Dentistry,In-state,78,71,32
