section,Preparation,,
order,52,,
table_name,number_of_first_year_first_time_enrollees_whose_highest_degree_is,,
display_table_name,,,
table_has_categories,yes,,
filter_by,,,
filter_display_order,,,
content,,,
Dental School,,Baccalaureate,Master's Degree or Beyond
University of Texas Health Science Center at San Antonio School of Dentistry,"Number of first-year, first-time enrollees whose highest degree is:",82,2
University of Texas School of Dentistry at Houston,"Number of first-year, first-time enrollees whose highest degree is:",94,9
"Roseman University of Health Sciences College of Dental Medicine – South Jordan, Utah","Number of first-year, first-time enrollees whose highest degree is:",72,11
University of Utah School of Dentistry,"Number of first-year, first-time enrollees whose highest degree is:",45,1
Virginia Commonwealth University School of Dentistry,"Number of first-year, first-time enrollees whose highest degree is:",,
University of Washington School of Dentistry,"Number of first-year, first-time enrollees whose highest degree is:",62,0
West Virginia University School of Dentistry,"Number of first-year, first-time enrollees whose highest degree is:",43,3
Marquette University School of Dentistry,"Number of first-year, first-time enrollees whose highest degree is:",81,4
University of Alberta School of Dentistry ,"Number of first-year, first-time enrollees whose highest degree is:",19,0
University of British Columbia Faculty of Dentistry ,"Number of first-year, first-time enrollees whose highest degree is:",56,1
University of Manitoba College of Dentistry ,"Number of first-year, first-time enrollees whose highest degree is:",11,0
Dalhousie University Faculty of Dentistry ,"Number of first-year, first-time enrollees whose highest degree is:",33,2
University of Toronto Faculty of Dentistry ,"Number of first-year, first-time enrollees whose highest degree is:",37,39
Western University Schulich School of Medicine & Dentistry ,"Number of first-year, first-time enrollees whose highest degree is:",41,14
McGill University Faculty of Dentistry ,"Number of first-year, first-time enrollees whose highest degree is:",23,8
Université Laval Faculté de Médecine Dentaire ,"Number of first-year, first-time enrollees whose highest degree is:",9,1
Université de Montréal Faculté de Médecine Dentaire,"Number of first-year, first-time enrollees whose highest degree is:",46,2
University of Saskatchewan College of Dentistry,"Number of first-year, first-time enrollees whose highest degree is:",14,1
