Dental School,Type of institution,Year opened,Term type,Time to degree in months,Start month,Doctoral dental degree offered,Targeted predoctoral enrollment,Targeted entering class size,Campus setting,Campus housing available
"University of Alabama at Birmingham 
School of Dentistry",Public,1948,Semester,48,July,D.M.D.,240,60,Urban,Yes
"A.T. Still University
Arizona School of Dentistry & Oral Health",Private,2003,Semester,48,July,D.M.D.,300,76,Suburban,No
"Midwestern University 
College of Dental Medicine-Arizona",Private,2008,Quarter,46,August,D.M.D.,560,140,Suburban,Yes
Herman Ostrow School of Dentistry of USC,Private,1897,Trimester,40,August,D.D.S.,580,144,Urban,Yes
"Loma Linda University 
School of Dentistry",Private,1953,Quarter,45,August,D.D.S.,400,100,Suburban,Yes
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
