section,Preparation,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Computer science,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Genetics,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Mathematics,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Statistics,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",Trigonometry,,,,
"A.T. Still University, Arizona School of Dentistry & Oral Health",#5#Notes: English composition or technical writing.,,,,
Midwestern University College of Dental Medicine-Arizona,#5#BCP (biology – chemistry – physics),,,,
Midwestern University College of Dental Medicine-Arizona,Biology,x,,x,8/12
Midwestern University College of Dental Medicine-Arizona,"Chemistry, general/inorganic",x,,x,8/12
Midwestern University College of Dental Medicine-Arizona,"Chemistry, organic",x,,x,4/6
Midwestern University College of Dental Medicine-Arizona,Physics,x,,x,8/12
Midwestern University College of Dental Medicine-Arizona,#5#Additional biological sciences,,,,
Midwestern University College of Dental Medicine-Arizona,Anatomy,x,,x,3/4
Midwestern University College of Dental Medicine-Arizona,Biochemistry,x,,,3/4
Midwestern University College of Dental Medicine-Arizona,Cell biology,,,,
Midwestern University College of Dental Medicine-Arizona,Histology,,x,,
Midwestern University College of Dental Medicine-Arizona,Immunology,,x,,
Midwestern University College of Dental Medicine-Arizona,Microbiology,x,,,3/4
Midwestern University College of Dental Medicine-Arizona,Molecular biology/genetics,,x,,
Midwestern University College of Dental Medicine-Arizona,Physiology,x,,,3/4
Midwestern University College of Dental Medicine-Arizona,Zoology,,x,,
Midwestern University College of Dental Medicine-Arizona,#5#Nonscience,,,,
Midwestern University College of Dental Medicine-Arizona,Art,,,,
Midwestern University College of Dental Medicine-Arizona,Business,,,,
Midwestern University College of Dental Medicine-Arizona,Communications,,,,
Midwestern University College of Dental Medicine-Arizona,Economics,,,,
Midwestern University College of Dental Medicine-Arizona,Ethics,,,,
Midwestern University College of Dental Medicine-Arizona,Foreign languages,,,,
Midwestern University College of Dental Medicine-Arizona,Humanities,,,,
Midwestern University College of Dental Medicine-Arizona,Sociology,,,,
Midwestern University College of Dental Medicine-Arizona,#5#Behavioral Science,,,,
Midwestern University College of Dental Medicine-Arizona,Psychology,,,,
Midwestern University College of Dental Medicine-Arizona,#5#English,,,,
Midwestern University College of Dental Medicine-Arizona,Basic composition,,,,
Midwestern University College of Dental Medicine-Arizona,Composition,x,,,6/9
Midwestern University College of Dental Medicine-Arizona,Creative writing,,,,
Midwestern University College of Dental Medicine-Arizona,English,,,,
Midwestern University College of Dental Medicine-Arizona,Literature,,,,
Midwestern University College of Dental Medicine-Arizona,Technical writing,,,,
Midwestern University College of Dental Medicine-Arizona,#5#Other science,,,,
Midwestern University College of Dental Medicine-Arizona,Algebra,,,,
Midwestern University College of Dental Medicine-Arizona,Biostatistics,,,,
Midwestern University College of Dental Medicine-Arizona,Calculus,,,,
Midwestern University College of Dental Medicine-Arizona,Computer science,,,,
Midwestern University College of Dental Medicine-Arizona,Genetics,,,,
Midwestern University College of Dental Medicine-Arizona,Mathematics,,,,
Midwestern University College of Dental Medicine-Arizona,Statistics,,,,
Midwestern University College of Dental Medicine-Arizona,Trigonometry,,,,
Midwestern University College of Dental Medicine-Arizona,#5#Notes: English composition or technical writing.,,,,
Herman Ostrow School of Dentistry of USC,Prerequisite Course,Required,Recommended,Lab Required,"Credits
(Semester/Quarter)"
Herman Ostrow School of Dentistry of USC,#5#BCP (biology – chemistry – physics),,,,
Herman Ostrow School of Dentistry of USC,Biology,x,,x,8/10
